[353.3951956647629, 237.30162493228136]
[410.57921263185244, -630.9853504135456]
[-646.9184156739782, 751.9549028011563]
[-126.98682130861448, 435.43885499979183]
[671.3812055836081, 114.99724097548392]
[743.1998999406669, 725.5333408103463]
[746.0987758433384, -754.5093192248041]
[358.68225043136295, 209.97975789258498]
[679.621234271089, 501.9963963141088]
[390.91945335294736, -886.9395142624828]
[-503.2867767511637, 789.2402355140232]
[-175.07402144874493, 159.22914642446563]
[-336.6225673783747, 226.10089213904803]
[495.7633590977491, 100.23947270701069]
[-476.4287156518441, 832.6493643814088]
[449.32709496836924, -319.2818880287364]
[-889.9140978296107, 139.99768375439135]
[861.6565745431881, 657.7151286554588]
[499.75336047184396, -534.2149288504927]
[418.7236241188243, -247.14831267450347]
[-707.9505785809223, 840.8167649014329]
[7.933756267785611, 206.22886945854884]
[859.8428865490519, 311.8291555735741]
[102.03353475562744, 439.877613016296]
[-868.0212876964615, -15.283397847099081]
[-21.297891160225845, -153.04842047848274]
[381.05361680077294, -872.2623502249069]
[397.120487664502, 365.0125061275355]
[511.6156706620134, -772.9239758991325]
[440.54121542128087, 508.0301889716998]
[-790.9404789750787, 803.540593053385]
[-686.1447266919514, 756.9149209979232]
[-603.4345315176738, 503.73936944037905]
[727.6028926871943, 950.7393932268533]
[437.14792096313363, 191.62446618874833]
[-890.3492423564824, 908.0129255692921]
[777.4418496328944, -14.17136034244345]
[-230.91589127045086, -654.0893284390097]
[-371.1057711597423, -530.0624841899253]
[175.15674418904905, 942.4219280402683]
[665.5901180859091, 357.9277050415385]
[-856.1210260886348, 571.9294922970982]
[609.252377996557, -278.03586340646643]
[-797.2254771034903, 789.0448953377058]
[-771.572772489775, 899.84722951198]
[706.1062597762761, -703.3771717973902]
[-917.9048971542658, 405.64858959481285]
[780.3582018229556, 85.78355059501814]
[313.36454865393443, 509.136497692748]
[420.8106528882572, 728.5275727542328]
[633.6178884535273, 924.7604060246288]
[-216.90343088769055, 425.16868917807096]
[90.63418763913774, 835.6210353917522]
[-75.03951165851925, -414.53219235139284]
[350.0026576417231, -118.51073222879302]
[662.6215056951637, 479.70484120930087]
[4.533911934258185, 907.5556235326114]
[-979.3586770378184, 491.1840387281809]
[284.0237150799835, 116.47648327600427]
[-737.9370033846981, 798.6465288219076]
[130.3025883128587, -315.7398879953637]
[773.7142736813755, 662.7610819869262]
[601.7110874961488, -636.3771140993273]
[-279.0541911746867, 178.82726041346177]
[903.3103003276815, 351.98340755312756]
[-277.8557011219309, 946.485437061754]
[475.6038547647995, -82.26205946139987]
[-287.0323563405053, 293.03324703223393]
[632.9997910697714, -493.3252981659252]
[-794.9680304089311, 973.1041594134281]
[223.5130069984425, 982.0672266336774]
[411.33499879665965, 50.74594805913807]
[206.64478763110424, 327.756486660134]
[-150.59075443784627, -240.2869076748724]
[-14.375321927021332, 970.1610679831842]
[-975.3191447429318, 66.02492023588093]
[347.60324506294705, -814.5761547117982]
[292.45748079887153, 929.347469979499]
[28.822304562056615, 221.27070371179184]
[137.56186585678938, -768.3397054826152]
[-644.776782222376, 514.6582969097469]
[398.8602308655004, 869.9487720880438]
[306.8076164764452, 689.5842724525041]
[217.65693451751326, -922.530300269159]
[337.6527061361676, 382.9820492893243]
[-464.5598190835635, 278.4551744236087]
[811.4039001130118, -236.9022058933091]
[350.1198006898255, -164.1406182211001]
[-441.13926423055614, 695.6798261388544]
[-585.7531136348599, -134.71422352672903]
[801.867624589619, 306.57195401312174]
[418.90222370337415, 88.32127752146039]
[-332.85345907584383, 140.82751106152864]
[-193.87620977387473, 132.52203957051393]
[-524.2363311149907, -182.82763428447936]
[-170.82335024991266, 333.4426232778119]
